Date,Equity
19710518,117189.045546317
19710519,117574.805867317
19710520,118371.682670317
19710521,118139.957454317
19710524,116828.457827317
19710525,116043.968992317
19710526,115887.921582317
19710527,115798.465363317
19710528,116062.40438031699
19710601,116426.252666317
19710602,117649.548515317
19710603,117973.566450317
19710604,117457.545232317
19710607,117096.056343317
19710608,115936.77757231699
19710609,115611.327195317
19710610,116300.877761317
19710611,116454.822029317
19710614,115867.509838317
19710615,116425.720919317
19710616,116660.758392317
19710617,116616.025003317
19710618,114716.63581031699
19710621,113211.242492317
19710622,113296.85735431699
19710623,113990.034974317
19710624,113926.365581317
19710625,113928.24651531699
19710628,113970.033044317
19710629,115314.152657317
19710630,116299.048194317
19710701,116241.989417317
19710702,115707.680270317
19710706,115747.539056317
19710707,114613.91845698899
19710708,115067.98355798899
19710709,115051.07498198899
19710712,115121.98825698899
19710713,113496.855305989
19710714,113381.28430398898
19710715,113326.594779989
19710716,113252.52819898899
19710719,113068.34057998899
19710720,114097.306953989
19710721,113809.77700998899
19710722,113047.75990598899
19710723,112867.90125098899
19710726,112675.325960989
19710727,111430.662639989
19710728,110560.761926989
19710729,109127.41000998899
19710730,108697.318721989
19710802,109915.433656989
19710803,107628.454433989
19710804,107279.40096398898
19710805,107811.817781989
19710806,107869.341664989
19710809,107058.77803198899
19710810,107440.405116989
19710811,108587.607852989
19710812,109821.58985798899
19710813,109313.478750989
19710816,114045.02061698899
19710817,114703.069344989
19710818,113044.958706989
19710819,112085.768909989
19710820,112252.10317998899
19710823,114743.759235589
19710824,116103.68270358899
19710825,116471.18198658898
19710826,115926.827354589
19710827,115845.81950458899
19710830,114110.462125989
19710831,113781.495064989
19710901,113368.43255098899
19710902,113857.09492798899
19710903,116624.098158589
19710907,116597.27393858899
19710908,116979.936763589
19710909,116397.649568589
19710910,116090.52966658899
19710913,115800.491254589
19710914,114719.118345589
19710915,115408.753764589
19710916,114971.065746589
19710917,115508.946435589
19710920,115149.47519058899
19710921,113901.166184989
19710922,112770.09077898899
19710923,112670.28277898899
19710924,112391.01589698899
19710927,111815.58642198899
19710928,112181.567332989
19710929,112088.388950989
19710930,112348.742463989
19711001,113170.269482989
19711004,113350.16415298899
19711005,113501.504633989
19711006,115318.34595398899
19711007,114252.15063764498
19711008,113319.78844864499
19711011,113097.98123464499
19711012,113133.24658464498
19711013,112801.00689664499
19711014,111915.20564764498
19711015,111611.86082964498
19711018,111313.78679864499
19711019,110275.89087564498
19711020,108989.33725364499
19711021,109156.30501764499
19711022,109131.80422164498
19711025,109020.95525364499
19711026,108908.51284864498
19711027,107869.22058064498
19711028,108274.76703064499
19711029,109037.35778164498
19711101,107471.94826064499
19711102,107380.83547564498
19711103,108913.84042364499
19711104,108713.93129064499
19711105,108389.48965464499
19711108,108286.62206064498
19711109,108266.65522564498
19711110,106715.95234564498
19711111,105321.15065064498
19711112,105747.01664664499
19711115,105056.74257864499
19711116,106211.78361664499
19711117,106439.19462364499
19711118,105583.64979964499
19711119,105002.95955064498
19711122,104286.84551064498
19711123,103659.323123645
19711124,103612.88119464499
19711126,105843.225830645
19711129,107556.82230464499
19711130,108767.91266864499
19711201,110499.01013864498
19711202,110968.42450964499
19711203,112569.55097064498
19711206,112049.47083464498
19711207,112442.88094764498
19711208,112959.89280064499
19711209,112650.272485645
19711210,113887.57853564499
19711213,114164.40208164499
19711214,113488.87138264498
19711215,114273.88311164499
19711216,115454.55971664499
19711217,116154.11949864498
19711220,118816.44572094499
19711221,119456.76472994499
19711222,118142.68469094498
19711223,117784.82346794498
19711227,118243.79253994499
19711228,118851.03764494498
19711229,119068.05232694499
19711230,118615.69906894499
19711231,119434.82206194499
19720103,119014.38040794499
19720104,120637.23207494499
19720105,121569.52743494499
19720106,121645.40329394498
19720107,120470.34372053998
19720110,121070.27401253999
19720111,121497.74483053999
19720112,121523.91061253998
19720113,120808.99271453999
19720114,121351.41148453997
19720117,122170.19407353998
19720118,122977.36753653998
19720119,122942.92606053998
19720120,122102.28042653998
19720121,122317.91637353998
19720124,121157.25033053997
19720125,121273.53005053998
19720126,121246.71306653997
19720127,123012.54428753997
19720128,124219.73630253998
19720131,123839.64045953998
19720201,123741.58924053998
19720202,123924.34508853998
19720203,123870.78630753998
19720204,124327.74689353998
19720207,123528.06671853998
19720208,123845.07676553998
19720209,124975.70827753998
19720210,125012.89312153998
19720211,124544.16254653998
19720214,124199.27402453998
19720215,124402.05355953999
19720216,125603.04146853999
19720217,125578.67975053999
19720218,125018.93297253999
19720222,124939.16340053998
19720223,125091.96271453999
19720224,125158.16512753998
19720225,125493.21534653998
19720228,125281.77989453998
19720229,125697.32517953998
19720301,126805.74641853997
19720302,126579.31188953998
19720303,126691.72751053997
19720306,127462.35055353999
19720307,127587.09494653998
19720308,127745.78115753998
19720309,127595.27289053999
19720310,126902.20667053998
