<TICKER>        <NAME>
AACG.US         ATA CREATIVITY GLOBAL
AACI.US         ARMADA ACQUISITION I
AACIU.US        ARMADA ACQUISITION I
AACIW.US        ARMADA ACQUISITION I
AADI.US         AADI BIOSCIENCE
AAL.US          AMERICAN AIRLINES GROUP
AAME.US         ATLANTIC AMERICAN
AAOI.US         APPLIED OPTOELECTRONICS
AAON.US         AAON
AAPB.US         GRANITESHARES 1.75X LONG AAPL DAILY ETF
AAPD.US         DIREXION DAILY AAPL BEAR 1X SHARES
AAPL.US         APPLE
AAPU.US         DIREXION DAILY AAPL BULL 1.5X SHARES
ABCB.US         AMERIS BANCORP
ABCL.US         ABCELLERA BIOLOGICS
ABCM.US         ABCAM
ABEO.US         ABEONA THERAPEUTICS
ABIO.US         ARCA BIOPHARMA
ABL.US          ABACUS LIFE
ABLLW.US        ABACUS LIFE
ABNB.US         AIRBNB
ABOS.US         ACUMEN PHARMACEUTICALS
ABSI.US         ABSCI
ABST.US         ABSOLUTE SOFTWARE
ABUS.US         ARBUTUS BIOPHARMA
ABVC.US         ABVC BIOPHARMA
ACAB.US         ATLANTIC COASTAL ACQUISITION II
ACABU.US        ATLANTIC COASTAL ACQUISITION II
ACABW.US        ATLANTIC COASTAL ACQUISITION II
ACAC.US         ACRI CAPITAL ACQUISITION
ACACU.US        ACRI CAPITAL ACQUISITION
ACAD.US         ACADIA PHARMACEUTICALS
ACAH.US         ATLANTIC COASTAL ACQUISITION
ACAHW.US        ATLANTIC COASTAL ACQUISITION
ACAX.US         ALSET CAPITAL ACQUISITION
ACAXR.US        ALSET CAPITAL ACQUISITION
ACB.US          AURORA CANNABIS
ACBA.US         ACE GLOBAL BUSINESS ACQUISITION
ACBAU.US        ACE GLOBAL BUSINESS ACQUISITION
ACCD.US         ACCOLADE
ACDC.US         PROFRAC HOLDING
ACDCW.US        PROFRAC HOLDING
ACER.US         ACER THERAPEUTICS
ACET.US         ADICET BIO
ACGL.US         ARCH CAPITAL GROUP
ACGLN.US        Arch Capital Group Ltd
ACGLO.US        Arch Capital Group Ltd
ACGN.US         ACERAGEN
ACHC.US         ACADIA HEALTHCARE
ACHL.US         ACHILLES THERAPEUTICS
ACHV.US         ACHIEVE LIFE SCIENCES
ACIU.US         AC IMMUNE
